sys=统一账户,biz=L1262561,mid=L6030037,acct=L1262561,demo=查询私有外部机构
sys=统一账户,biz=L1262002,mid=L6030063,acct=L1262002,demo=客户资金资产信息查询
sys=统一账户,biz=L1190605,mid=L6030064,acct=L1202532,demo=券商发起证券转银行
sys=统一账户,biz=L1190594,mid=L6030065,acct=L1100128,demo=不合格休眠账户处理
sys=统一账户,biz=L1190594,mid=L6030065,acct=L1190042,demo=不合格休眠另库处理
sys=统一账户,biz=L1190595,mid=L6030066,acct=L1100125,demo=不合格休眠客户激活
sys=统一账户,biz=L1190595,mid=L6030066,acct=L1190041,demo=不合格休眠激活新
sys=统一账户,biz=L1160001,mid=L6032006,acct=L1192096,demo=资金客户查询
sys=统一账户,biz=L1202240,mid=L6014002,acct=L1190182,demo=股票期权单帐户利息归本
sys=统一账户,biz=L1190697,mid=L6014003,acct=L1100046,demo=查询本次单账户结息业务是否完整
sys=需增加的接口,biz=,mid=,acct=,demo=
sys=,biz=L1160103,mid=L6032011,acct=L1202009,demo=
sys=,biz=L1190559,mid=L6032009,acct=L1202008,demo=
sys=,biz=L1190711,mid=L6032010,acct=L1100111,demo=
