sys=U版融资融券柜台,biz=L0106021,mid=L5100112,acct=L1100112,demo=客户销户
sys=,biz=L0102061,mid=L5300014,acct=L1202025,demo=
sys=U版融资融券柜台,biz=L0102061,mid=L5300014,acct=L1100132,demo=客户资料同步(同步到融资融券)
sys=U版融资融券柜台,biz=L0360023,mid=L5410692,acct=L1100127,demo=禁入名单信息写入
sys=U版融资融券柜台,biz=L0306005,mid=L5450243,acct=L1100460,demo=变更客户征信状态
sys=U版融资融券柜台,biz=L0306005,mid=L5450243,acct=L1192041,demo=查询客户当前额度，以及能申请的变更额度
sys=U版融资融券柜台,biz=L0107002,mid=L5102140,acct=L1202003,demo=资产帐户分类维护
sys=U版融资融券柜台,biz=L0300162,mid=L5460000,acct=L2161000,demo=柜台投资者放弃认购数据导出
sys=,biz=L0304229,mid=L5460009,acct=99003116,demo=
sys=,biz=L0499038,mid=L5300318,acct=410868,demo=
sys=,biz=L0499038,mid=L5300318,acct=410872,demo=
sys=,biz=L0499038,mid=L5300318,acct=410881,demo=
sys=,biz=L0499038,mid=L5300318,acct=99000110,demo=
sys=,biz=L0499038,mid=L5300318,acct=99000325,demo=
sys=,biz=L0499038,mid=L5300318,acct=99000373,demo=
sys=,biz=L0499038,mid=L5300318,acct=99000394,demo=
sys=,biz=L0499038,mid=L5300318,acct=99000395,demo=
sys=,biz=L0499038,mid=L5300318,acct=99000447,demo=
sys=,biz=L0499038,mid=L5300318,acct=99000561,demo=
sys=,biz=L0499038,mid=L5300318,acct=99001110,demo=
sys=,biz=L0499038,mid=L5300318,acct=99001334,demo=
sys=,biz=L0499038,mid=L5300318,acct=99001341,demo=
sys=,biz=L0499038,mid=L5300318,acct=99001351,demo=
sys=,biz=L0499038,mid=L5300318,acct=99003098,demo=
sys=,biz=L0499038,mid=L5300318,acct=L1100014,demo=
sys=,biz=L0499038,mid=L5300318,acct=L1100015,demo=
sys=,biz=L0499038,mid=L5300318,acct=L1120160,demo=
sys=,biz=L0499038,mid=L5300318,acct=L1190010,demo=
sys=,biz=L0499038,mid=L5300318,acct=L1190011,demo=
sys=,biz=L0499038,mid=L5300318,acct=L1190020,demo=
sys=,biz=L0499038,mid=L5300318,acct=L1190081,demo=
sys=,biz=L0499038,mid=L5300318,acct=L1190086,demo=
sys=,biz=L0499038,mid=L5300318,acct=L1192179,demo=
sys=,biz=L0499038,mid=L5300318,acct=L1192195,demo=
sys=,biz=L0499038,mid=L5300318,acct=L1192197,demo=
sys=,biz=L0499038,mid=L5300318,acct=L1202025,demo=
sys=,biz=L0499038,mid=L5300318,acct=99000521,demo=
sys=,biz=L0499038,mid=L5300318,acct=L2100214,demo=
sys=,biz=L0499038,mid=L5300318,acct=L2100300,demo=
sys=,biz=L0499038,mid=L5300318,acct=L2100301,demo=
sys=,biz=L0499038,mid=L5300318,acct=L2100302,demo=
sys=,biz=L0499038,mid=L5300318,acct=L2100303,demo=
sys=,biz=L0499038,mid=L5300318,acct=L2100304,demo=
sys=,biz=L0499038,mid=L5300318,acct=L2100308,demo=
sys=,biz=L0499038,mid=L5300318,acct=L2100309,demo=
sys=,biz=L0499038,mid=L5300318,acct=L2100313,demo=
sys=,biz=L0499038,mid=L5300318,acct=L2100314,demo=
sys=U版融资融券柜台,biz=L0499038,mid=L5300318,acct=L1100132,demo=客户资料同步(同步到融资融券)
sys=需增加的接口,biz=,mid=,acct=,demo=
sys=,biz=L0103005,mid=L5100113,acct=L1100205,demo=
sys=,biz=L0301065,mid=L5460012,acct=L1190013,demo=
